book_id,book_authors,book_desc,book_edition,book_format,book_isbn,book_ pages,book_rating,book_rating_count,book_review_count,book_title,genres,image_url,book_ price,,,,,,,,,
46570,Mila Roth,"Tarnung ist alles …Geheimagent Markus Neumann erhält vom Institut den Auftrag, den Prototyp einer neuen Steuerung für Land- und Seeminenräumfahrzeuge namens Catfish ins Brüsseler NATO-Hauptquartier zu befördern. Bis zum Abtransport soll Janna Berg das Gerät auf ihrem Grundstück verstecken. Doch trotz Überwachung wird die Steuerung gestohlen und kurz darauf eine Geldforderung an die Bundesregierung gestellt.Das Institut nimmt schon bald ein Ehepaar ins Visier, das bereits zuvor mit internationalem Waffenhandel in Verbindung gebracht wurde. Da den beiden ein luxuriöses Wellnesshotel gehört, werden Markus und Janna dort eingeschleust – als Pärchen, das seinen Hochzeitstag mit einem Kurzurlaub feiert. Doch obwohl sie ihre Rollen sehr überzeugend spielen, scheinen ihnen die Schurken immer einen Schritt voraus zu sein …",,Paperback,,196,4.64,14,5,Katzenfische,,https://images.gr-assets.com/books/1383991289l/18769994.jpg,196,,,,,,,,,
12731,Ann Rule,"Long before the Craigslist Killer was Harvey Louis Carignan, the Want-Ad Killer After committing his first grisly crime, Harvey Louis Carignan beat a death sentence and continued to manipulate, rape, and bludgeon women to death, using want ads to lure his young female victims. And time after time, justice was thwarted by a killer whose twisted legal genius was matched only by his sick savagery.Written by true crime master Ann Rule, the stories of Carignan's gruesome assaults and murders are rendered in nail-biting detail along with the dogged efforts of the talented detectives whose harrowing work predates DNA testing and modern forensics. Here, complete with the testimony of women who suffered his unspeakable sexual abuses and barely escaped with their lives, and of the police who at last put him behind bars, is one of the most shattering and thought-provoking true-crime stories of our time.Includes 8   of photos.",,Paperback,9.78E+12,229,3.97,3947,109,The Want-Ad Killer,Crime|True Crime|Nonfiction|Mystery|Crime,https://images.gr-assets.com/books/1348600671l/546721.jpg,229,,,,,,,,,
9435,Kate Brian|Julian Peploe,"Reed Brennan arrived at Easton Academy expecting to find an idyllic private school experience -- challenging classes, adorably preppy boys, and a chance to create a new life for herself. Instead, she discovered lies, deception, blackmail, and...murder. But, thankfully, the killers were caught and the nightmare is finally over.  Now, with a new school year ahead of her, Reed steps back on Easton's ivy-covered campus ready to start over. So when the headmaster announces that billings is forbidden from holding their traditional, secretive initiation, Reed is relieved. She champions the new rules and the six new girls the administration has picked to live in Billings Hall: Constance, Missy, Lorna, Kiki, Astrid, and newcomer Sabine.  But Reed's fellow Billings resident and new nemesis, Cheyenne Martin, believes the changes are a mockery of Billings history. Despite the new rules, Cheyenne vows to keep the old ways alive, no matter what -- or who -- stands in her way...",,Paperback,9.78E+12,220,4.04,7491,188,Inner Circle,Young Adult|Mystery,https://images.gr-assets.com/books/1389046834l/630104.jpg,220,,,,,,,,,
1465,Tina Fey,"Before Liz Lemon, before ""Weekend Update,"" before ""Sarah Palin,"" Tina Fey was just a young girl with a dream: a recurring stress dream that she was being chased through a local airport by her middle-school gym teacher. She also had a dream that one day she would be a comedian on TV.She has seen both these dreams come true.At last, Tina Fey's story can be told. From her youthful days as a vicious nerd to her tour of duty on Saturday Night Live; from her passionately halfhearted pursuit of physical beauty to her life as a mother eating things off the floor; from her one-sided college romance to her nearly fatal honeymoon—from the beginning of this paragraph to this final sentence.Tina Fey reveals all, and proves what we've all suspected: you're no one until someone calls you bossy.(Includes Special, Never-Before-Solicited Opinions on Breastfeeding, Princesses, Photoshop, the Electoral Process, and Italian Rum Cake!)An unabridged recording on 5 CDs (5.5 Hours).",,Kindle Edition,,283,3.95,703207,36890,Bossypants,Nonfiction|Humor|Autobiography|Memoir|Biography|Audiobook,https://images.gr-assets.com/books/1481509554l/9418327.jpg,283,,,,,,,,,
42871,Mary Balogh,"He first spies her in the shadows outside a London theatre, a ravishing creature forced to barter her body to survive. To the woman known simply as Fleur, the well-dressed gentleman with the mesmerizing eyes is an unlikely savior. And when she takes the stranger to her bed, she never expects to see him again. But then Fleur accepts a position as governess to a young girl…and is stunned to discover that her midnight lover is a powerful nobleman. As two wary hearts ignite—and the threat of scandal hovers over them—one question remains: will she be mistress or wife?",,Paperback,9.78E+12,401,3.89,5593,315,The Secret Pearl,Romance|Historical Romance|Romance|Historical|Historical|Regency|Historical|Historical Fiction,https://images.gr-assets.com/books/1320414690l/124830.jpg,401,,,,,,,,,
41225,Mark Twain|Howard Mittelmark|Jeffrey Nichols,"The Celebrated Jumping Frog of Calaveras County The Facts Concerning the Recent Carnival of Crime in Connecticut The Stolen White Elephant Luck The £1,000,000 Bank-Note The Man That Corrupted Hadleyburg The Five Boons of Life Was It Heaven? Or Hell? The Mysterious Stranger The Mysterious Stranger and Other Stories unites nine of master American humorist Mark Twain’s most accomplished works. From tall tales of con men’s tricks, such as the classic that brought him instant fame, “The Celebrated Jumping Frog of Calaveras County,” to a man with no money (other than a £1,000,000 banknote that no one can cash), to an exposé of greed and hypocrisy in perhaps his greatest short story, “The Man That Corrupted Hadleyburg,” Twain showcases his notorious humor—skewering policemen, clergymen, politicians, bankers, and others—and displays his changing attitude toward human nature. The finale is the novella The Mysterious Stranger, a rarity for Mark Twain in which he turns his sardonic, freewheeling wit on eternal evil in a distant time and place—and conjures a memorable, tormenting conclusion.",,Paperback,9.78E+12,272,4.04,1383,125,The Mysterious Stranger and Other Stories,Fiction|Short Stories|Classics|Literature|Humor,https://images.gr-assets.com/books/1355108119l/13543142.jpg,272,,,,,,,,,
1691,Stephen King,"Nine-year-old Trisha McFarland strays from the path while she and her recently divorced mother and brother take a hike along a branch of the Appalachian Trail. Lost for days, wandering farther and farther astray, Trisha has only her portable radio for comfort. A huge fan of Tom Gordon, a Boston Red Sox relief pitcher, she listens to baseball games and fantasizes that her hero will save her. Nature isn't her only adversary, though - something dangerous may be tracking Trisha through the dark woods.",,Paperback,9.78E+12,264,3.57,111441,3893,The Girl Who Loved Tom Gordon,Horror|Fiction|Thriller,https://images.gr-assets.com/books/1166480184l/11564.jpg,264,,,,,,,,,
16064,Jones Loflin|Todd Musig,"What do you do when your life feels as busy as a three-ring circus?Juggling Elephants tells a simple but profound story about one man with a universal problem. Mark has too much to do, too many priorities, too much stress, and too little time. As he struggles to balance his many responsibilities without cracking under the pressure, Mark takes a break to attend the circus with his family. There he has a surprising conversation with a wise ringmaster. He leaves with a simple but powerful lesson: Trying to get everything done is like juggling elephants -- impossible. So Mark begins to think about his work, family, and personal life the way a ringmaster thinks about the many acts in a three-ring circus. He discovers that managing his various acts can be fun and easy once he changes his attitude and follows his new friend?s ongoing guidance. Mark soon realizes: ? If you keep trying to juggle elephants, no one, including you, will be thrilled with your performance. ? A ringmaster cannot be in all three rings at once. ? The key to the success of a circus is having quality acts in all three rings. ? Intermission is an essential part of any good circus.Juggling Elephants is a wonderfully lighthearted guide for everyone who feels like they?re about to be squashed. It will help you better focus your time and energy, so you?ll be able to enjoy more of the things that are important to you. Above all, it will teach you how to run your circus, instead of letting the circus run you.",,Hardcover,9.78E+12,144,3.58,343,63,Juggling Elephants: An Easier Way to Get Your Most Important Things Done--Now!,Nonfiction|Self Help|Business,https://images.gr-assets.com/books/1347604553l/1689628.jpg,144,,,,,,,,,
24992,P.G. Wodehouse,"Ring for Jeeves features one of Wodehouse's best-known characters, Jeeves. It is the only Jeeves novel in which his employer, Bertie Wooster, does not appear (though he is mentioned). Wodehouse adapted the story from a play, Come On, Jeeves, that he had written with his lifelong friend and collaborator Guy Bolton.The story opens with Jeeves's employer, Bertie Wooster, having enrolled in a school that teaches the idle rich how to fend for themselves. In his absence he has allowed Jeeves to offer his services to William ""Bill"" Rowcester, the impoverished 9th Earl of Rowcester, whose stately home, Rowcester Abbey, is an encumbrance for which the Earl is seeking a buyer. Jeeves becomes embroiled in a complicated affair involving 'fake' bookies, stolen gems, a wealthy American widow and a big game hunter, but, as in all Jeeves novels, the imperturbable valet succeeds in resolving matters to the satisfaction of all parties.",,Hardcover,9.78E+12,208,4.03,3193,255,Ring for Jeeves,Fiction|Humor|Classics|Humor|Comedy,https://images.gr-assets.com/books/1515346420l/18029.jpg,208,,,,,,,,,
52177,April Nicolai,"Kaja ist verzweifelt. Die krankhafte Liebe eines Stalkers macht ihr das Leben zur Hölle. Die Situation eskaliert, als der Stalker einen Autounfall provoziert, bei dem ihr bester Freund stirbt. Um sich selbst und die Menschen in ihrem Umfeld zu schützen, flüchtet Kaja ans andere Ende Deutschlands. Doch ihr neuer Vorsatz, niemandem zu vertrauen, gerät ins Wanken, als sie Noah begegnet. Wie ein Blitz trifft sie die Aufmerksamkeit des gutaussehende Selbstverteidigungslehrer mitten ins Herz. Gerade als sie beginnt, Noah zu vertrauen, spürt ihr Stalker sie wieder auf. Kaja ist sich sicher: Er wird ihre Liebe zu Noah nicht akzeptieren. Verzweifelt versucht sie Noah zu schützen...",,Paperback,9.78E+12,300,4,1,0,Rescue Me,,https://images.gr-assets.com/books/1474191105l/32068949.jpg,300,,,,,,,,,
